Subject,Start Date,Start Time,End Date,End Time,Description
"Configuration et structure du projet - Back-end (Symfony)",2024-12-27,09:00,2024-12-27,12:00,"Installer Symfony, configurer les outils nécessaires (API Platform, Doctrine, JWT). Créer les entités principales : Livre, Emplacement, Exemplaire, Membre, Emprunt, Retour, Arrivage."
"Configuration et structure du projet - Front-end (React)",2024-12-27,13:00,2024-12-27,17:00,"Configurer l'environnement React, installer les librairies nécessaires (Axios, React Router, Formik). Créer la structure des composants (Pages et Layouts)."
"Développement des fonctionnalités principales - Back-end",2024-12-28,09:00,2024-12-28,12:00,"Créer les endpoints API pour gérer les Livres, Emplacements, Exemplaires (CRUD). Ajouter les premières validations dans les entités."
"Développement des fonctionnalités principales - Front-end",2024-12-28,13:00,2024-12-28,17:00,"Créer les composants pour : Liste des livres, Ajout/modification d’un livre avec sélection d’un emplacement, Liste et gestion des emplacements. Connecter ces composants aux endpoints API."
"Gestion des membres et des emprunts - Back-end",2024-12-29,11:00,2024-12-29,13:00,"Implémenter les endpoints pour gérer les Membres, enregistrer un emprunt, modifier le statut d’un emprunt, et vérifier la disponibilité des exemplaires."
"Gestion des membres et des emprunts - Front-end",2024-12-29,13:00,2024-12-29,17:00,"Créer les composants pour : Liste des membres, Formulaire d’emprunt, Afficher les emprunts en cours. Tester les interactions front-end/back-end."
"Gestion des retours et arrivages - Back-end",2024-12-30,09:00,2024-12-30,12:00,"Implémenter les endpoints pour enregistrer un retour, calculer les pénalités (si applicable), ajouter un arrivage. Finaliser les règles métiers."
"Gestion des retours et arrivages - Front-end",2024-12-30,13:00,2024-12-30,17:00,"Créer les composants pour : Liste des retours (par membre ou livre), Gestion des arrivages. Intégrer ces fonctionnalités avec le back-end."
"Finalisation et tests - Back-end",2024-12-31,09:00,2024-12-31,12:00,"Tester et déboguer les endpoints API. Optimiser les performances et sécuriser les endpoints (rôles Admin/Membre)."
"Finalisation et tests - Front-end",2024-12-31,13:00,2024-12-31,15:00,"Finaliser l’interface utilisateur, tester toutes les interactions utilisateur, s’assurer que le design est responsive."
"Finalisation et tests - Déploiement",2024-12-31,15:00,2024-12-31,17:00,"Déployer le back-end (Heroku, AWS, local) et le front-end (Netlify, Vercel). Tester en environnement de production."
